,station_id,name,lat,lon
0,398,Atlantic Ave & Furman St,40.6917,-74.0
149,459,W 20 St & 11 Ave,40.7467,-74.0078
214,329,Greenwich St & North Moore St,40.7202,-74.0104
238,462,W 22 St & 10 Ave,40.7469,-74.0045
241,405,Washington St & Gansevoort St,40.7393,-74.0081
247,232,Cadman Plaza E & Tillary St,40.696,-73.9901
269,327,Vesey Pl & River Terrace,40.7153,-74.0166
298,427,State St,40.7025,-74.0143
302,358,Christopher St & Greenwich St,40.7329,-74.0071
408,116,W 17 St & 8 Ave,40.7418,-74.0015
434,304,Broadway & Battery Pl,40.7046,-74.0136
435,514,12 Ave & W 40 St,40.7609,-74.0028
438,453,W 22 St & 8 Ave,40.7448,-73.9992
509,427,Bus Slip & State St,40.7019,-74.0139
528,225,W 14 St & The High Line,40.742,-74.008
607,426,West St & Chambers St,40.7175,-74.0132
608,2008,Little West St & 1 Pl,40.7057,-74.0168
657,3002,South End Ave & Liberty St,40.7115,-74.0158
667,435,W 21 St & 6 Ave,40.7417,-73.9942
680,363,West Thames St,40.7083,-74.0171
746,329,Greenwich St & N Moore St,40.7204,-74.0102
794,509,9 Ave & W 22 St,40.7455,-74.002
837,387,Centre St & Chambers St,40.7127,-74.0046
840,217,Old Fulton St,40.7028,-73.9938
