,id,name,ratio,lat,lon
145,3385,2 Ave & E 105 St,2,40.7898,-73.943
146,3543,Morningside Dr & Amsterdam Ave,2,40.8103,-73.9574
147,3631,Crown St & Bedford Ave,2,40.6666,-73.9567
124,324,DeKalb Ave & Hudson Ave,1.39011438987663,40.6899,-73.981
125,3394,Columbia St & W 9 St,1.30243902439024,40.677,-74.0065
126,3333,Columbia St & Lorraine St,1.29125651418645,40.6747,-74.0076
127,3653,31 St & 35 Ave,1.28,40.7582,-73.9283
399,3342,Pioneer St & Richards St,1.26059850374065,40.6778,-74.0095
400,3337,Dwight St & Van Dyke St,1.24175283111768,40.6736,-74.012
401,3632,E 12 St & Avenue B,1.23259777538572,40.728,-73.9788
402,3232,Bond St & Fulton St,1.22153344208809,40.6896,-73.983
403,3512,27 Ave & 4 St,1.20879120879121,40.7747,-73.9338
0,3340,Wolcott St & Dwight St,1.17852437417655,40.6753,-74.0101
1,3557,40 Ave & 9 St,1.17808219178082,40.7574,-73.9451
340,243,Fulton St & Rockwell Pl,1.1638489894496,40.688,-73.9785
342,3596,Sullivan Pl & Bedford Ave,1.16326530612245,40.6642,-73.9575
343,510,W 51 St & 6 Ave,1.15590144496473,40.7607,-73.9804
345,2001,Sands St & Navy St,1.15073498878831,40.6998,-73.9799
405,337,Old Slip & Front St,1.13742180860697,40.7038,-74.0084
406,3648,Flushing Ave & Vanderbilt Ave,1.13631022326675,40.698,-73.9708
349,415,Pearl St & Hanover Square,1.13406771096513,40.7047,-74.0093
350,3654,31 St & Northern Blvd,1.1304347826087,40.7519,-73.9335
351,2005,Railroad Ave & Kay Ave,1.13022854678741,40.7053,-73.971
353,3352,Sigourney St & Columbia St,1.12100456621005,40.6727,-74.0088
148,218,Gallatin Pl & Livingston St,1.11525082387404,40.6903,-73.9871
149,492,W 33 St & 7 Ave,1.11242060971737,40.7502,-73.9909
150,3330,Henry St & Bay St,1.11226252158895,40.6725,-74.0049
151,3644,Van Dyke St & Van Brunt St,1.10742358078603,40.6758,-74.0149
354,3443,W 52 St & 6 Ave,1.10678430179495,40.7613,-73.9798
355,260,Broad St & Bridge St,1.10549725484745,40.7037,-74.0117
356,3620,11 St & 43 Ave,1.10236220472441,40.7519,-73.9479
357,217,Old Fulton St,1.10146200921546,40.7028,-73.9938
358,3541,Amsterdam Ave & W 125 St,1.09967845659164,40.8134,-73.9565
152,398,Atlantic Ave & Furman St,1.09943995417807,40.6917,-74
153,3550,Convent Ave & W 129 St,1.09756097560976,40.8141,-73.953
154,414,Pearl St & Anchorage Pl,1.0969567426459,40.7028,-73.9877
155,3604,Rogers Ave & Sterling St,1.09545454545455,40.6631,-73.9539
34,3104,KentAve&N7 St,1.09429190751445,40.7206,-73.9615
38,418,Front St & Gold St,1.09305289993627,40.7022,-73.9826
39,3322,12 St & 4 Ave,1.09213441654358,40.6686,-73.9904
40,467,Dean St & 4 Ave,1.08820739356355,40.6831,-73.979
156,3498,Pleasant Ave & E 120 St,1.0859872611465,40.7975,-73.9312
157,225,W 14 St & The High Line,1.08539942541057,40.742,-74.008
158,304,Broadway & Battery Pl,1.08501484762925,40.7046,-74.0136
159,520,W 52 St & 5 Ave,1.08477651815162,40.7599,-73.9765
160,343,Clinton Ave & Flushing Ave,1.08393602016625,40.6979,-73.9699
179,3601,Sterling St & Bedford Ave,1.08312958435208,40.6627,-73.9569
180,3609,Vernon Blvd & 31 Ave,1.08176943699732,40.7692,-73.9355
181,3324,3 Ave & 14 St,1.07989105764866,40.6685,-73.9933
182,2000,Front St & Washington St,1.07898500878946,40.7026,-73.9894
407,3063,Nostrand Ave & Myrtle Ave,1.07606132075472,40.6953,-73.9524
408,137,E 56 St & Madison Ave,1.0738078743794,40.7616,-73.9729
409,3068,Humboldt St & Varet St,1.07342896174863,40.7032,-73.9406
411,348,W Broadway & Spring St,1.07206663243252,40.7249,-74.0015
518,83,Atlantic Ave & Fort Greene Pl,1.07157436841225,40.6838,-73.9763
519,313,Washington Ave & Park Ave,1.07028901226711,40.6961,-73.9675
520,432,E 7 St & Avenue A,1.0686162413155,40.7262,-73.9838
521,242,Flushing Ave & Carlton Ave,1.06828149417755,40.6978,-73.9737
525,3120,Center Blvd & Borden Ave,1.06583229036295,40.7416,-73.9604
529,274,Lafayette Ave & Fort Greene Pl,1.06572636371027,40.6869,-73.9767
530,309,Murray St & West St,1.0654843943544,40.715,-74.013
359,3618,27 St & Hunter St,1.06413301662708,40.7485,-73.9413
360,514,12 Ave & W 40 St,1.06379385782525,40.7609,-74.0028
361,3326,Clinton St & Centre St,1.06281407035176,40.6743,-74.0019
362,144,Nassau St & Navy St,1.06205956784115,40.6984,-73.9807
6,3610,Vernon Blvd & 30 Rd,1.06124721603563,40.7708,-73.9342
7,3371,4 Ave & 2 St,1.06070224161873,40.6746,-73.985
8,3344,Pioneer St & Van Brunt St,1.05996252342286,40.679,-74.0112
9,471,Grand St & Havemeyer St,1.05942618997087,40.7129,-73.957
10,2010,Grand St & Greene St,1.05880468499723,40.7217,-74.0023
41,303,Mercer St & Spring St,1.05819062599231,40.7236,-73.9995
42,3348,Coffey St & Conover St,1.05682560418027,40.6772,-74.0157
43,392,Jay St & Tech Pl,1.05555643514194,40.6951,-73.9872
44,3391,E 106 St & 1 Ave,1.05471847739889,40.7893,-73.9396
422,3393,Richards St & Delavan St,1.05448524984949,40.6794,-74.0079
423,3395,Henry St & W 9 St,1.05430463576159,40.6764,-74.0032
424,3586,34 Ave & 13 St,1.05426356589147,40.7639,-73.9365
425,298,3 Ave & Schermerhorn St,1.05385520894644,40.6868,-73.9797
426,3114,India St & East River,1.05366963777736,40.7317,-73.9616
412,3403,4 Ave & 9 St,1.0509769865393,40.6705,-73.9888
413,3392,Commerce St & Van Brunt St,1.05075552111585,40.6812,-74.0086
414,497,E 17 St & Broadway,1.05003126810031,40.737,-73.9901
415,456,E 53 St & Madison Ave,1.05002667701412,40.7597,-73.974
801,493,W 45 St & 6 Ave (1),1.04979587451655,40.7568,-73.9829
805,534,Water - Whitehall Plaza,1.04952165788079,40.7026,-74.0127
806,2002,Wythe Ave & Metropolitan Ave,1.04945721187355,40.7169,-73.9632
807,3148,E 84 St & 1 Ave,1.04940700661311,40.7757,-73.9507
531,3353,Reed St & Van Brunt St,1.04887218045113,40.6748,-74.0161
