,id,name,pagerank,lat,lon
0,519,Pershing Square North,11.6737784625727,40.7524,-73.9784
9,3016,Kent Ave & N 7 St,4.53481183782187,40.7204,-73.9617
531,517,Pershing Square South,4.13436484110995,40.7515,-73.978
540,532,S 5 Pl & S 5 St,3.91616080752728,40.7105,-73.9609
544,504,1 Ave & E 15 St,3.58390525866511,40.7322,-73.9817
548,468,Broadway & W 55 St,3.43493138906567,40.7653,-73.9819
15,527,E 33 St & 2 Ave,3.40034698593244,40.744,-73.9761
19,2006,Central Park S & 6 Ave,3.39589100390818,40.7659,-73.9763
20,497,E 17 St & Broadway,3.35123407118239,40.737,-73.9901
21,387,Centre St & Chambers St,3.30559962419898,40.7127,-74.0046
22,347,Greenwich St & W Houston St,3.25422642489908,40.7287,-74.0075
26,279,Peck Slip & Front St,3.13782432189178,40.7079,-74.0017
552,312,Allen St & E Houston St,3.0961955619972,40.7221,-73.9891
556,499,Broadway & W 60 St,3.0951928725884,40.7692,-73.9819
557,426,West St & Chambers St,3.029980684914,40.7175,-74.0132
558,521,8 Ave & W 31 St,3.00187983149046,40.7504,-73.9948
564,281,Grand Army Plaza & Central Park S,2.94027093596379,40.7644,-73.9737
565,3119,Vernon Blvd & 50 Ave,2.93042667496095,40.7423,-73.9541
521,3129,Queens Plaza North & Crescent St,2.89297433747279,40.7511,-73.9407
522,402,Broadway & E 22 St,2.88718509597227,40.7403,-73.9896
523,540,Lexington Ave & E 29 St,2.84509415111434,40.7415,-73.9832
527,384,Fulton St & Waverly Ave,2.83766087750347,40.683,-73.9649
35,539,Metropolitan Ave & Bedford Ave,2.81836828731759,40.7153,-73.9602
36,435,W 21 St & 6 Ave,2.80679443263494,40.7417,-73.9942
37,151,Cleveland Pl & Spring St,2.7789073005005,40.7221,-73.9972
566,217,Old Fulton St,2.74845737354566,40.7028,-73.9938
567,514,12 Ave & W 40 St,2.72566529035668,40.7609,-74.0028
568,2002,Wythe Ave & Metropolitan Ave,2.71222088672588,40.7169,-73.9632
569,477,W 41 St & 8 Ave,2.66823920185311,40.7564,-73.99
570,457,Broadway & W 58 St,2.65376351199348,40.767,-73.9817
571,293,Lafayette St & E 8 St,2.60528743863351,40.7303,-73.9908
573,490,8 Ave & W 33 St,2.57121813833801,40.7516,-73.9939
574,430,York St & Jay St,2.57059445240079,40.7015,-73.9866
575,285,Broadway & E 14 St,2.56502196945256,40.7345,-73.9907
39,324,DeKalb Ave & Hudson Ave,2.52183067827187,40.6899,-73.981
40,467,Dean St & 4 Ave,2.51983217399834,40.6831,-73.979
41,492,W 33 St & 7 Ave,2.51017119100549,40.7502,-73.9909
42,3141,1 Ave & E 68 St,2.51012322967026,40.765,-73.9582
43,459,W 20 St & 11 Ave,2.47923183788377,40.7467,-74.0078
44,359,E 47 St & Park Ave,2.3418462183635,40.7551,-73.975
45,250,Lafayette St & Jersey St,2.30129523377813,40.7246,-73.9957
49,2000,Front St & Washington St,2.2986228956119,40.7026,-73.9894
50,368,Carmine St & 6 Ave,2.28390939149264,40.7304,-74.0021
51,323,Lawrence St & Willoughby St,2.2786830847476,40.6924,-73.9863
52,3090,N 8 St & Driggs Ave,2.25152876129565,40.7177,-73.956
53,3093,N 6 St & Bedford Ave,2.22232461378617,40.7175,-73.9585
54,284,Greenwich Ave & 8 Ave,2.21985602886051,40.739,-74.0026
576,417,Barclay St & Church St,2.16540033663572,40.7129,-74.0102
577,523,W 38 St & 8 Ave,2.15777151939629,40.7547,-73.9914
578,382,University Pl & E 14 St,2.15741646342467,40.7349,-73.992
579,327,Vesey Pl & River Terrace,2.14179300277678,40.7153,-74.0166
580,319,Fulton St & Broadway,2.1392000129321,40.7134,-74.0094
55,3124,46 Ave & 5 St,2.13622345347146,40.7473,-73.9545
56,3409,Bergen St & Smith St,2.12704408733969,40.6867,-73.9906
57,358,Christopher St & Greenwich St,2.1194301914211,40.7329,-74.0071
584,3263,Cooper Square & E 7 St,2.11921566871912,40.7295,-73.9908
588,314,Montague St & Clinton St,2.10822879005861,40.6938,-73.9905
592,398,Atlantic Ave & Furman St,2.10617934770056,40.6917,-74
593,83,Atlantic Ave & Fort Greene Pl,2.09463374546958,40.6838,-73.9763
594,143,Clinton St & Joralemon St,2.08502051123484,40.6924,-73.9934
595,444,Broadway & W 24 St,2.07308785709928,40.7424,-73.9892
596,518,E 39 St & 2 Ave,2.04343793377862,40.7478,-73.9734
58,533,Broadway & W 39 St,2.04154513391982,40.753,-73.9872
62,379,W 31 St & 7 Ave,2.03616088608452,40.7492,-73.9916
63,242,Carlton Ave & Flushing Ave,2.02825381434784,40.6978,-73.9737
597,479,9 Ave & W 45 St,2.02586705696474,40.7602,-73.9913
598,3002,South End Ave & Liberty St,2.01693121725055,40.7115,-74.0158
599,168,W 18 St & 6 Ave,2.00718219280247,40.7397,-73.9946
600,229,Great Jones St,1.99321061218263,40.7274,-73.9938
67,520,W 52 St & 5 Ave,1.98844346145073,40.7599,-73.9765
68,3120,Center Blvd & Borden Ave,1.98331441748937,40.7416,-73.9604
72,366,Clinton Ave & Myrtle Ave,1.98076953473752,40.6933,-73.9689
73,3112,Milton St & Franklin St,1.96641205746928,40.7291,-73.9578
601,305,E 58 St & 3 Ave,1.96276616168633,40.761,-73.9672
602,173,Broadway & W 49 St,1.96100427472389,40.7607,-73.9845
604,310,State St & Smith St,1.95201141483956,40.6893,-73.9891
605,3147,E 85 St & 3 Ave,1.94366300294559,40.778,-73.9541
74,432,E 7 St & Avenue A,1.91341049159395,40.7262,-73.9838
75,472,E 32 St & Park Ave,1.90040867587668,40.7457,-73.9819
76,128,MacDougal St & Prince St,1.89961179347365,40.7271,-74.003
77,537,Lexington Ave & E 24 St,1.8857687614464,40.7403,-73.9841
78,460,S 4 St & Wythe Ave,1.86619421989408,40.7129,-73.9659
