date,sunrise,icon,precip_prob,temperature,humidity,wind_speed,rides
2018-03-01 00:00:00,0,cloudy,0,52.04,0.62,0.84,329
2018-03-01 01:00:00,0,cloudy,0,51.07,0.64,0.8,146
2018-03-01 02:00:00,0,partly-cloudy,0,49.95,0.66,0.65,86
2018-03-01 03:00:00,0,partly-cloudy,0,48.11,0.69,0.26,32
2018-03-01 04:00:00,0,clear,0,45.88,0.73,0.45,72
2018-03-01 05:00:00,0,clear,0,44.83,0.76,0.2,372
2018-03-01 06:00:00,0,clear,0,43.76,0.79,0.05,1404
2018-03-01 07:00:00,1,partly-cloudy,0,43.44,0.8,0,3200
2018-03-01 08:00:00,1,partly-cloudy,0,45.59,0.8,0.01,5657
2018-03-01 09:00:00,1,partly-cloudy,0,49.91,0.71,0.06,3693
2018-03-01 10:00:00,1,partly-cloudy,0,54.49,0.64,0.32,2129
2018-03-01 11:00:00,1,partly-cloudy,0,57.75,0.59,1.05,1923
2018-03-01 12:00:00,1,partly-cloudy,0,58.09,0.58,1.55,2198
2018-03-01 13:00:00,1,partly-cloudy,0,58.79,0.56,1.97,2303
2018-03-01 14:00:00,1,partly-cloudy,0,58.73,0.56,2.56,2388
2018-03-01 15:00:00,1,partly-cloudy,0,57.05,0.58,2.99,2624
2018-03-01 16:00:00,1,partly-cloudy,0,56.54,0.59,3.55,3272
2018-03-01 17:00:00,1,partly-cloudy,0,55.35,0.6,3.32,4848
2018-03-01 18:00:00,0,partly-cloudy,0,54.27,0.62,2.53,4568
2018-03-01 19:00:00,0,cloudy,0,52.6,0.65,2.76,2593
2018-03-01 20:00:00,0,cloudy,0,50.89,0.69,2.59,1179
2018-03-01 21:00:00,0,cloudy,0.49,48.52,0.78,2.51,266
2018-03-01 22:00:00,0,rain,0.99,45.31,0.87,3.09,184
2018-03-01 23:00:00,0,rain,1,42.23,0.9,4.89,98
