date,sunrise,icon,precip_prob,temperature,humidity,wind_speed,rides
2018-01-30 00:00:00,0,cloudy,0,30.57,0.74,4.87,90
2018-01-30 01:00:00,0,cloudy,0,28.64,0.8,4.32,40
2018-01-30 02:00:00,0,cloudy,0,31.76,0.84,2.71,21
2018-01-30 03:00:00,0,cloudy,0,31.01,0.86,1.78,16
2018-01-30 04:00:00,0,cloudy,0,30.54,0.88,1.61,35
2018-01-30 05:00:00,0,cloudy,0,30.34,0.89,1.07,227
2018-01-30 06:00:00,0,cloudy,0,30.42,0.89,0.85,647
2018-01-30 07:00:00,0,cloudy,0,30.33,0.9,0.95,1269
2018-01-30 08:00:00,1,cloudy,0,30.49,0.9,1.23,2441
2018-01-30 09:00:00,1,cloudy,0,31.25,0.89,1.48,1972
2018-01-30 10:00:00,1,cloudy,0,32.54,0.86,1.37,1191
2018-01-30 11:00:00,1,cloudy,0.28,33.76,0.82,2.34,1100
2018-01-30 12:00:00,1,cloudy,0.44,34.89,0.78,2.79,1277
2018-01-30 13:00:00,1,cloudy,0.5,32.71,0.78,3.39,1354
2018-01-30 14:00:00,1,cloudy,0.47,32.78,0.78,3.46,1408
2018-01-30 15:00:00,1,partly-cloudy,0.37,31.15,0.72,4.71,1639
2018-01-30 16:00:00,1,partly-cloudy,0.21,28.64,0.65,5.85,2081
2018-01-30 17:00:00,1,partly-cloudy,0.06,26.3,0.62,6,3202
2018-01-30 18:00:00,0,cloudy,0,23.75,0.59,6.63,3141
2018-01-30 19:00:00,0,cloudy,0,22.01,0.58,6.86,1953
2018-01-30 20:00:00,0,cloudy,0,20.39,0.57,6.98,1216
2018-01-30 21:00:00,0,partly-cloudy,0,18.97,0.57,7.1,799
2018-01-30 22:00:00,0,partly-cloudy,0,18.36,0.59,6.49,590
2018-01-30 23:00:00,0,partly-cloudy,0,17.2,0.59,6.44,287
2018-01-31 00:00:00,0,clear,0,16.87,0.59,5.83,138
2018-01-31 01:00:00,0,clear,0,15.82,0.59,5.42,61
2018-01-31 02:00:00,0,clear,0,15.27,0.59,4.78,20
2018-01-31 03:00:00,0,clear,0,14.55,0.59,4.57,15
2018-01-31 04:00:00,0,clear,0,12.98,0.6,4.59,48
2018-01-31 05:00:00,0,clear,0,13.23,0.61,3.72,297
2018-01-31 06:00:00,0,clear,0,11.23,0.61,4.64,939
2018-01-31 07:00:00,0,clear,0,12.18,0.62,3.57,1950
