date,hour,month,day_of_week,sunrise,icon,precip_prob,temperature,humidity,wind_speed,rides
2013-06-01,0,6,7,0,clear,0.01,77.65,0.61,2.06,152
2013-06-01,1,6,7,0,clear,0.01,75.62,0.67,1.93,102
2013-06-01,2,6,7,0,clear,0.01,74.72,0.7,2.31,67
2013-06-01,3,6,7,0,clear,0.01,73.32,0.76,2.16,41
2013-06-01,4,6,7,0,clear,0.01,72.42,0.79,1.93,16
2013-06-01,5,6,7,0,clear,0.01,71.67,0.82,1.87,13
2013-06-01,6,6,7,1,clear,0.01,71.14,0.83,1.9,40
2013-06-01,7,6,7,1,clear,0.01,73,0.82,2.68,93
2013-06-01,8,6,7,1,clear,0.01,76.06,0.76,3.7,177
2013-06-01,9,6,7,1,clear,0.01,78.98,0.7,3.8,280
2013-06-01,10,6,7,1,clear,0.01,83.82,0.63,3.64,375
2013-06-01,11,6,7,1,clear,0.01,87.31,0.59,3.02,473
2013-06-01,12,6,7,1,clear,0.01,89.89,0.54,3.48,604
2013-06-01,13,6,7,1,clear,0.01,91.46,0.51,4.21,638
2013-06-01,14,6,7,1,partly-cloudy,0.04,91.5,0.5,3.71,688
2013-06-01,15,6,7,1,clear,0.04,92.27,0.49,4.51,684
2013-06-01,16,6,7,1,clear,0.02,92.06,0.46,4.47,693
2013-06-01,17,6,7,1,clear,0,90.69,0.47,4.32,728
2013-06-01,18,6,7,1,clear,0,88.37,0.49,4.23,691
2013-06-01,19,6,7,1,clear,0,86.07,0.52,4,651
2013-06-01,20,6,7,1,clear,0,84.45,0.56,3.28,509
2013-06-01,21,6,7,0,clear,0,81.9,0.62,4.09,361
2013-06-01,22,6,7,0,clear,0,79.09,0.67,4.52,321
2013-06-01,23,6,7,0,clear,0,77.42,0.71,3.17,325
2013-06-02,0,6,1,0,clear,0,76.61,0.74,3.6,259
2013-06-02,1,6,1,0,clear,0,76.14,0.76,3.43,173
2013-06-02,2,6,1,0,clear,0,74.92,0.78,3.62,100
2013-06-02,3,6,1,0,clear,0,74.61,0.78,3.91,67
2013-06-02,4,6,1,0,clear,0,73.46,0.8,4.1,34
2013-06-02,5,6,1,0,clear,0,72.64,0.8,3.72,28
2013-06-02,6,6,1,1,clear,0,72.05,0.82,3.67,52
2013-06-02,7,6,1,1,clear,0,73.18,0.78,6.73,87
2013-06-02,8,6,1,1,clear,0,76.83,0.74,4.87,212
2013-06-02,9,6,1,1,clear,0,79.79,0.68,5.48,453
2013-06-02,10,6,1,1,clear,0,84.13,0.63,5.26,735
2013-06-02,11,6,1,1,clear,0,86.22,0.6,5.15,1063
2013-06-02,12,6,1,1,partly-cloudy,0,88.22,0.56,4.69,1308
2013-06-02,13,6,1,1,partly-cloudy,0,89.13,0.55,5.41,1446
2013-06-02,14,6,1,1,partly-cloudy,0,90.01,0.54,5.71,1481
2013-06-02,15,6,1,1,partly-cloudy,0,89.56,0.53,4.6,1591
2013-06-02,16,6,1,1,partly-cloudy,0,88.96,0.53,5.27,1470
2013-06-02,17,6,1,1,partly-cloudy,0,87.89,0.51,5.51,1336
2013-06-02,18,6,1,1,partly-cloudy,0,85.15,0.54,5.23,1247
2013-06-02,19,6,1,1,partly-cloudy,0,83.58,0.58,4.64,1076
2013-06-02,20,6,1,1,partly-cloudy,0.04,82.22,0.63,3.71,805
2013-06-02,21,6,1,0,partly-cloudy,0.25,77.3,0.72,3.78,545
2013-06-02,22,6,1,0,partly-cloudy,0.12,76.23,0.75,3.11,341
2013-06-02,23,6,1,0,partly-cloudy,0.33,75.29,0.82,3.83,62
2013-06-03,0,6,2,0,rain,0.6,73.1,0.86,3.39,47
2013-06-03,1,6,2,0,rain,0.68,72.15,0.87,2.71,34
2013-06-03,2,6,2,0,partly-cloudy,0.49,72.11,0.87,2.63,11
